"","Team","Date","TOI","CF","CA","CF60","CA60","CF%","C+/-"
"347","ANA","2013-03-04",49.34,39.85,46.4,48.46,56.42,46.2,-6.55
"348","ANA","2013-03-02",53.84,42.16,68.4,46.98,76.22,38.13,-26.24
"349","ANA","2013-03-01",50.3,49.67,40.84,59.25,48.71,54.88,8.83
"350","ANA","2013-02-27",48.18,45.17,31.71,56.25,39.49,58.75,13.46
"351","ANA","2013-02-25",49.96,33.97,53.38,40.79,64.11,38.89,-19.41
"352","ANA","2013-02-24",44.51,40.17,52.06,54.15,70.18,43.55,-11.89
"353","ANA","2013-02-18",52.1,41.12,57.98,47.36,66.77,41.5,-16.85
"354","ANA","2013-02-16",47.56,41.92,46.01,52.89,58.04,47.68,-4.09
"355","ANA","2013-02-15",45.32,47.94,44.13,63.48,58.43,52.07,3.81
"356","ANA","2013-02-12",44.91,34.09,30.76,45.54,41.1,52.56,3.32
"357","ANA","2013-02-09",55.36,38.68,49.41,41.92,53.56,43.9,-10.74
"358","ANA","2013-02-08",41.73,31,39.25,44.57,56.44,44.12,-8.26
"359","ANA","2013-02-06",51.22,49.1,52.08,57.51,61.01,48.52,-2.99
"360","ANA","2013-02-04",34.65,36.54,45.57,63.27,78.91,44.5,-9.04
"361","ANA","2013-02-02",47,29.03,52.03,37.06,66.43,35.81,-23.01
"362","ANA","2013-02-01",52.91,54.27,40.49,61.54,45.91,57.27,13.79
"363","ANA","2013-01-29",46.48,48.47,38.62,62.57,49.85,55.66,9.85
"364","ANA","2013-01-26",43.57,40.24,34.62,55.42,47.68,53.75,5.62
"365","ANA","2013-01-25",40.08,30.53,38.9,45.7,58.24,43.97,-8.37
"366","ANA","2013-01-21",50.98,47.84,43.98,56.31,51.76,52.1,3.86
"367","ANA","2013-01-19",52.79,40.27,43.28,45.76,49.19,48.2,-3.01
"368","ANA","2012-04-07",48.13,31.87,42.6,39.73,53.11,42.79,-10.73
"369","ANA","2012-04-05",54.68,46.23,45.95,50.73,50.42,50.15,0.28
"370","ANA","2012-04-03",43.43,32.59,51.29,45.03,70.86,38.85,-18.7
"371","ANA","2012-04-01",49.06,43.74,42.92,53.49,52.49,50.47,0.82
"372","ANA","2012-03-31",40.34,46.77,37.73,69.56,56.11,55.35,9.04
"373","ANA","2012-03-28",57.4,45.25,44.82,47.3,46.85,50.24,0.43
"374","ANA","2012-03-25",49.53,34,46.37,41.19,56.18,42.3,-12.37
"375","ANA","2012-03-21",46,26.13,56.82,34.08,74.11,31.5,-30.69
"376","ANA","2012-03-19",50.89,62.54,44.34,73.73,52.28,58.51,18.19
"377","ANA","2012-03-18",49.99,44.84,44.53,53.82,53.44,50.18,0.31
"378","ANA","2012-03-16",46.01,31.97,74.11,41.69,96.64,30.14,-42.14
"379","ANA","2012-03-14",49.37,48.97,41.43,59.51,50.34,54.17,7.54
"380","ANA","2012-03-12",57.6,64.39,59.58,67.07,62.06,51.94,4.81
"381","ANA","2012-03-10",42.41,37.34,39.73,52.82,56.21,48.44,-2.4
"382","ANA","2012-03-08",46.31,30.35,41.49,39.32,53.75,42.25,-11.14
"383","ANA","2012-03-05",54.06,45.71,53.35,50.73,59.21,46.14,-7.65
"384","ANA","2012-03-03",44.79,36.33,35.89,48.67,48.07,50.31,0.44
"385","ANA","2012-03-02",45.07,50.6,38.54,67.37,51.31,56.76,12.06
"386","ANA","2012-02-29",43.77,51.19,35.35,70.18,48.45,59.16,15.85
"387","ANA","2012-02-27",53.22,46.35,53.9,52.26,60.77,46.24,-7.55
"388","ANA","2012-02-26",45.63,46.26,41.39,60.83,54.42,52.78,4.88
"389","ANA","2012-02-23",47.45,53.71,49.25,67.91,62.28,52.17,4.46
"390","ANA","2012-02-21",53.5,46.69,30.25,52.36,33.92,60.69,16.44
"391","ANA","2012-02-19",46.16,43.08,44.64,56,58.03,49.11,-1.56
"392","ANA","2012-02-17",50.36,38.87,32.58,46.31,38.82,54.4,6.29
"393","ANA","2012-02-15",49.87,43.49,52.07,52.32,62.64,45.51,-8.58
"394","ANA","2012-02-14",43.64,39.21,27.18,53.91,37.37,59.06,12.04
"395","ANA","2012-02-12",48.08,43.87,31.72,54.75,39.58,58.04,12.15
"396","ANA","2012-02-10",39.37,32.52,29.73,49.56,45.31,52.24,2.79
"397","ANA","2012-02-08",54.37,51.42,64.01,56.74,70.64,44.54,-12.59
"398","ANA","2012-02-06",43,44.41,33.01,61.97,46.06,57.37,11.41
"399","ANA","2012-02-03",41.66,46.47,33.66,66.92,48.47,57.99,12.81
"400","ANA","2012-02-01",46.11,34.79,44.73,45.28,58.21,43.75,-9.94
"401","ANA","2012-01-31",49.56,41.56,47.47,50.32,57.47,46.68,-5.91
"402","ANA","2012-01-24",51.71,50.94,31.38,59.11,36.41,61.88,19.56
"403","ANA","2012-01-22",46.99,43.75,59.27,55.86,75.68,42.47,-15.52
"404","ANA","2012-01-21",47.86,45.72,46.49,57.32,58.28,49.58,-0.77
"405","ANA","2012-01-18",49.69,37.48,50.86,45.26,61.41,42.43,-13.38
"406","ANA","2012-01-15",47.8,41.02,34.93,51.49,43.85,54.01,6.09
"407","ANA","2012-01-13",51.25,36.63,45.18,42.88,52.89,44.77,-8.55
"408","ANA","2012-01-12",53.73,44.79,29.81,50.01,33.29,60.04,14.97
"409","ANA","2012-01-10",48.93,45.03,51.08,55.22,62.64,46.85,-6.05
"410","ANA","2012-01-08",45.15,44.74,28.56,59.46,37.95,61.04,16.18
"411","ANA","2012-01-06",48.18,42.49,48.37,52.92,60.23,46.77,-5.88
"412","ANA","2012-01-04",44.33,47.3,51.41,64.02,69.59,47.92,-4.12
"413","ANA","2011-12-31",52.96,29.44,49.87,33.35,56.5,37.12,-20.43
"414","ANA","2011-12-29",45.82,40.08,44.22,52.48,57.9,47.54,-4.14
"415","ANA","2011-12-26",51.88,46.56,45.69,53.84,52.84,50.47,0.87
"416","ANA","2011-12-22",46.05,32.23,48.18,41.99,62.78,40.08,-15.95
"417","ANA","2011-12-19",47.6,46.7,46.45,58.87,58.55,50.13,0.25
"418","ANA","2011-12-17",51.04,56.98,47.65,66.98,56.02,54.46,9.33
"419","ANA","2011-12-16",48.81,45.23,33.61,55.6,41.32,57.37,11.62
"420","ANA","2011-12-14",46.81,38.35,43.09,49.16,55.23,47.09,-4.73
"421","ANA","2011-12-10",46.6,25.43,39.44,32.74,50.78,39.2,-14.01
"422","ANA","2011-12-08",52.95,38.12,46.29,43.2,52.45,45.16,-8.17
"423","ANA","2011-12-06",50.94,45.65,54.08,53.77,63.69,45.77,-8.43
